fight_id	turn	field	sim_value	engine_value	action_context	suspected_reading_corruption
soak-20260804-221045-run001#f1		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run001#f1		record.cards_played[Soloist's Solicitation]	4	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run001#f2		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run001#f2		record.cards_played[Soloist's Solicitation]	3	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run001#f3	4	l1.damage	7	8	card=Chevreuse — Interdiction Fire target=Skulking Colony target_hp=40->32 n_enemies=1	0
soak-20260804-221045-run001#f3	6	l1.damage	7	4	card=Chevreuse — Interdiction Fire target=Skulking Colony target_hp=7->3 n_enemies=1	0
soak-20260804-221045-run001#f3	6	l1.damage	6	0	card=Soloist's Solicitation target=Skulking Colony target_hp=3->3 n_enemies=1	0
soak-20260804-221045-run001#f3		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run001#f4		record.cards_played[Chevreuse — Interdiction Fire]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run001#f4		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run001#f5	4	l1.damage	6	7	card=House Call target=Terror Eel target_hp=120->113 n_enemies=1	0
soak-20260804-221045-run001#f5	7	l1.damage	6	7	card=Soloist's Solicitation target=Terror Eel target_hp=98->91 n_enemies=1	0
soak-20260804-221045-run001#f5		record.cards_played[Ethereal Spotlight]	0	8	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run001#f5		record.cards_played[Slip Backstage]	2	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f1	2	l1.damage	6	9	card=Freminet — Pers, Deploy! target=Fuzzy Wurm Crawler target_hp=45->36 n_enemies=1	0
soak-20260804-221045-run002#f1		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f1		record.cards_played[Soloist's Solicitation]	5	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f2		record.cards_played[Ethereal Spotlight]	0	8	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f2		record.cards_played[Soloist's Solicitation]	6	7	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f3	3	l1.damage	6	10	card=Freminet — Pers, Deploy! target=Shrinker Beetle target_hp=20->10 n_enemies=1	0
soak-20260804-221045-run002#f3	3	l1.damage	6	4	card=Soloist's Solicitation target=Shrinker Beetle target_hp=10->6 n_enemies=1	0
soak-20260804-221045-run002#f3		record.cards_played[Ethereal Spotlight]	0	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f4		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f5		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f5		record.cards_played[Soloist's Solicitation]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run002#f6		record.cards_played[Ethereal Spotlight]	0	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run003#f1	3	l1.damage	7	-21	card=Chevreuse — Interdiction Fire target=Corpse Slug target_hp=6->27 n_enemies=2	1
soak-20260804-221045-run003#f1		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run003#f1		record.cards_played[Freminet — Pers, Deploy!]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run003#f2		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-221045-run003#f2		record.cards_played[Freminet — Pers, Deploy!]	2	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f1		record.cards_played[Ball Lightning]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f1		record.cards_played[Ethereal Spotlight]	0	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f2	2	l1.damage	6	4	card=Soloist's Solicitation target=Sludge Spinner target_hp=31->27 n_enemies=1	0
soak-20260804-222105-run001#f2	4	l1.damage	6	4	card=Soloist's Solicitation target=Sludge Spinner target_hp=9->5 n_enemies=1	0
soak-20260804-222105-run001#f2		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f3		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f3		record.cards_played[Undercurrent]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f4		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f5		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f6	6	l1.damage	7	10	card=Chevreuse — Interdiction Fire target=Living Fog target_hp=15->5 n_enemies=1	0
soak-20260804-222105-run001#f6		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f6		record.cards_played[Undercurrent]	0	1	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f7		record.cards_played[Breathless]	0	1	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run001#f7		record.cards_played[Ethereal Spotlight]	0	1	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run002#f1	1	l1.damage	6	9	card=Freminet — Pers, Deploy! target=Seapunk target_hp=44->35 n_enemies=1	0
soak-20260804-222105-run002#f1	3	l1.damage	6	9	card=Kaeya — Frostgnaw target=Seapunk target_hp=23->14 n_enemies=1	0
soak-20260804-222105-run002#f1	3	l1.damage	6	9	card=Freminet — Pers, Deploy! target=Seapunk target_hp=14->5 n_enemies=1	0
soak-20260804-222105-run002#f1		record.cards_played[Ethereal Spotlight]	0	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run002#f1		record.cards_played[Soloist's Solicitation]	2	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run002#f2	4	l1.damage	6	-19	card=Freminet — Pers, Deploy! target=Toadpole target_hp=4->23 n_enemies=2	1
soak-20260804-222105-run002#f2	5	l1.damage	6	9	card=Freminet — Pers, Deploy! target=Toadpole target_hp=17->8 n_enemies=2	0
