turn_id	grader	verdict	refused_by	q1	q2	q3	q4	agree_q1	agree_q2	agree_q4	survives_alone	seed	run_state	role	instance
klee-slice1-r2-t01	codex-gpt-5.6-sol-fresh	REFUSED	intent_insensitive	Rapid Fire first, consuming the 3 Sparks, then Flame on the Wick and Kaboom! on Seapunk, …	I considered playing Kaboom! first with the Spark discount, then Rapid Fire for 2 energy …	It gave up all 3 Sparks, all 2 energy, and every card in hand; it did not give up damage …	No. Given only the printed information, no different intent would improve on playing all …	-	-	-	no	N6PCA0C9GCFG	RUN	deciding	-
klee-slice1-r2-t01	opus-5-fresh	REFUSED	intent_insensitive	The whole hand. I led with Rapid Fire so the 3-Spark bank paid for the most expensive car…	Yes — spending the Spark bank on Kaboom! instead of Rapid Fire. That line is Kaboom! at 0…	Nothing in the hand — every card was played. What it gives up is the ordering risk: I ass…	Barely. With four cards and no card left unplayable, the hand empties under any telegraph…	-	-	-	no	N6PCA0C9GCFG	RUN	deciding	-
klee-slice1-r2-t02	codex-gpt-5.6-sol-fresh	SURVIVES	-	I played Rapid Fire on Seapunk for 0, consuming the 3 Sparks, then Kaboom! on Seapunk for…	Second Helping followed by Rapid Fire, dealing 28 total damage but gaining no Block.	It gave up 5 damage in exchange for 5 Block against the telegraphed 11-damage attack.	Yes. If Seapunk had not intended to attack, I would have favored Second Helping followed …	-	-	-	yes	N6PCA0C9GCFG	RUN	deciding	-
klee-slice1-r2-t02	opus-5-fresh	REFUSED	intent_insensitive	Rapid Fire first, spending the 3-Spark bank to play it at 0 for four hits of 4 into Seapu…	Yes — leading Second Helping with the bank instead. It is the card that explicitly eats 3…	It gives up Second Helping entirely — the card is bricked for the turn once the Sparks ar…	No. The line is forced by the arithmetic of the discount, not by what Seapunk is doing. A…	-	-	-	no	N6PCA0C9GCFG	RUN	deciding	-
klee-slice1-r2-t03	codex-gpt-5.6-sol-fresh	SURVIVES	-	I played Rapid Fire on Nibbit for 0, consuming the 3 Sparks; then Kaboom! on Nibbit for i…	I seriously considered replacing Duck and Cover with Eager to Help, keeping the same 23 d…	It gave up drawing two cards in exchange for 5 Block against the telegraphed 12-damage at…	Yes. If Nibbit had telegraphed no attack, I would have replaced Duck and Cover with Eager…	-	-	-	yes	LUMNB3D9GFKD	RUN	deciding	-
klee-slice1-r2-t03	opus-5-fresh	SURVIVES	-	Rapid Fire first, spending the whole 3-Spark bank on the most expensive attack in hand so…	Yes. The real alternative was leading Eager to Help while the bank still read 3, so it dr…	Card draw and whatever it would have set up for next turn — Eager to Help stays stranded …	Yes. Duck and Cover is only there because of the 12-damage attack. If Nibbit had telegrap…	-	-	-	yes	LUMNB3D9GFKD	RUN	deciding	-
klee-slice1-r2-t04	codex-gpt-5.6-sol-fresh	SURVIVES	-	Rapid Fire on Nibbit first, consuming the 3 Sparks, then Kaboom! on Nibbit, then Duck and…	Rapid Fire, Kaboom!, then Rummage instead of Duck and Cover, keeping the same damage and …	It gave up Rummage's draw of 3 cards in exchange for 5 Block against the incoming 12 dama…	Yes. If Nibbit were not attacking, I would replace Duck and Cover with Rummage.	-	-	-	yes	LUMNB3D9GFKD	RUN	deciding	-
klee-slice1-r2-t04	opus-5-fresh	REFUSED	intent_insensitive	Rapid Fire first, spending the 3-Spark bank on it so it costs 0: four hits of 4 into the …	Rummage. It costs 1 and draws 3, which is the only card in hand that could change what th…	The three cards from Rummage, and with them any chance that this hand was hiding a better…	Not in any way that changes the cards. The attacks are correct against any intent — 23 da…	-	-	-	no	LUMNB3D9GFKD	RUN	deciding	-
klee-slice1-r2-t05	codex-gpt-5.6-sol-fresh	REFUSED	intent_insensitive	Rapid Fire on Nibbit for 0, consuming the 3 Sparks; Kaboom! on Nibbit for its printed cos…	I seriously considered playing Kaboom! first for 0, then Rapid Fire for 2. It dealt the s…	It spent all 2 Energy and left Duck and Cover unplayed. It also committed the Spark disco…	No. On the information given, the same line deals 23 damage, gains 5 Block, and gains the…	-	-	-	no	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-r2-t05	opus-5-fresh	SURVIVES	-	I spent the Spark bank on the biggest attack first: Rapid Fire, which prints 2 but shows …	Rapid Fire, then Duck and Cover, then Imaginary Friend — 10 Block against the telegraphed…	5 HP, and Duck and Cover stays unplayed in hand for whatever the discard rule does with i…	Yes. If Nibbit had telegraphed something big enough that 5 Block left me in real trouble …	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-r2-t06	codex-gpt-5.6-sol-fresh	SURVIVES	-	Rapid Fire first, consuming the 3 Sparks, then Kaboom! on Nibbit, then Duck and Cover.	I seriously considered playing Kaboom! first and Rapid Fire second, spending all 2 Energy…	It gave up nothing in immediate attack damage versus that alternative; it gave up the pos…	Yes. If Nibbit had not intended to attack, I would have omitted Duck and Cover and played…	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-r2-t06	opus-5-fresh	SURVIVES	-	Rapid Fire first, spending the 3-Spark discount on it, then Kaboom! at its printed cost o…	Slow Burn first. It is the only card that uses the Spark bank for something other than a …	The Burst line. Slow Burn is the only Burst rider in the hand and it is dead for the rest…	Yes, at the extremes. A much larger telegraph — roughly 30 or more, i.e. genuinely threat…	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-r3-t03	codex-gpt-5.6-sol-fresh	SURVIVES	-	Eager to Help first while Spark was still available, then Rapid Fire targeting Seapunk, t…	I seriously considered omitting Duck and Cover to preserve another energy for one of the …	It gave up one energy that could have been spent on a drawn card, potentially adding offe…	Yes. If Seapunk had not telegraphed damage, I would have omitted Duck and Cover and kept …	-	-	-	yes	8D3369V27Z55	RUN	deciding	-
klee-slice1-r3-t03	opus-5-fresh	SURVIVES	-	Eager to Help first, for 1 energy, while the Spark bank is still 3 — that satisfies its '…	Two. The first was ordering — Rapid Fire before Eager to Help. Identical energy, strictly…	Certainty. Eager to Help spends 1 of 4 energy on cards I have not seen, and if the two dr…	Yes, at the margin. The 11 is what buys Duck and Cover its slot; against a telegraph I co…	-	-	-	yes	8D3369V27Z55	RUN	deciding	-
klee-slice1-r3-t04	codex-gpt-5.6-sol-fresh	SURVIVES	-	Rummage first, spending the 3 Sparks and drawing three cards; then Rapid Fire for its pri…	I seriously considered replacing Duck and Cover with a drawn 1-energy Attack dealing 7 da…	It gave up 7 potential damage from that alternative in exchange for 5 Block against the t…	Yes. Against a non-damaging intent, I would favor the extra 7-damage Attack over Duck and…	-	-	-	yes	8D3369V27Z55	RUN	deciding	-
klee-slice1-r3-t04	opus-5-fresh	SURVIVES	-	Rummage first for 1 energy, spending the 3-Spark bank to draw 3 cards. That leaves 3 ener…	Yes, two. The obvious one is Rapid Fire at its shown cost of 0 (consuming the Sparks) plu…	All of the Block. Duck and Cover stays unplayed, so I eat the whole 11 instead of 6 — 5 e…	Yes. Against 11 into 42 HP I can afford to race, because 5 HP is cheap and Seapunk's 46 n…	-	-	-	yes	8D3369V27Z55	RUN	deciding	-
klee-slice1-r3-t05	codex-gpt-5.6-sol-fresh	SURVIVES	-	Rapid Fire on Nibbit first, consuming the 3 Sparks, then Kaboom! on Nibbit for 1 Energy, …	Rapid Fire, Imaginary Friend, and Duck and Cover, trading Kaboom!'s 7 damage for 5 additi…	It gave up the additional 5 Block from Duck and Cover, so only 5 of the incoming 12 damag…	Yes. A substantially larger attack intent would have moved me to Rapid Fire, Imaginary Fr…	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
